State,Obama (D),Romney (R),Obama (D),Romney (R),All Others,Total Vote
AL,,9,795696.00,1255925.00,22717.00,2074338.00
AK,,3,122640.00,164676.00,13179.00,300495.00
AZ,,11,1025232.00,1233654.00,40368.00,2299254.00
AR,,6,394409.00,647744.00,27315.00,1069468.00
CA,55,,7854285.00,4839958.00,344304.00,13038547.00
CO,9,,1323102.00,1185243.00,61177.00,2569522.00
CT,7,,905083.00,634892.00,18985.00,1558960.00
DE,3,,242584.00,165484.00,5853.00,413921.00
DC,3,,267070.00,21381.00,5313.00,293764.00
FL,29,,4237756.00,4163447.00,72976.00,8474179.00
GA,,16,1773827.00,2078688.00,47535.00,3900050.00
HI,4,,306658.00,121015.00,7024.00,434697.00
ID,,4,212787.00,420911.00,18576.00,652274.00
IL,20,,3019512.00,2135216.00,87286.00,5242014.00
IN,,11,1152887.00,1420543.00,51104.00,2624534.00
IA,6,,822544.00,730617.00,29019.00,1582180.00
KS,,6,440726.00,692634.00,26611.00,1159971.00
KY,,8,679370.00,1087190.00,30652.00,1797212.00
LA,,8,809141.00,1152262.00,32662.00,1994065.00
ME,4,,401306.00,292276.00,19598.00,713180.00
MD,10,,1677844.00,971869.00,57614.00,2707327.00
MA,11,,1921290.00,1188314.00,58163.00,3167767.00
MI,16,,2564569.00,2115256.00,51136.00,4730961.00
MN,10,,1546167.00,1320225.00,70169.00,2936561.00
MS,,6,562949.00,710746.00,11889.00,1285584.00
MO,,10,1223796.00,1482440.00,51087.00,2757323.00
MT,,3,201839.00,267928.00,14281.00,484048.00
NE,,5,302081.00,475064.00,17234.00,794379.00
NV,6,,531373.00,463567.00,19978.00,1014918.00
NH,4,,369561.00,329918.00,11493.00,710972.00
NJ,14,,2125101.00,1477568.00,37623.00,3640292.00
NM,5,,415335.00,335788.00,32635.00,783758.00
NY,29,,4485741.00,2490431.00,104987.00,7081159.00
NC,,15,2178391.00,2270395.00,56586.00,4505372.00
ND,,3,124827.00,188163.00,9637.00,322627.00
OH,18,,2827710.00,2661433.00,91697.00,5580840.00
OK,,7,443547.00,891325.00,0.00,1334872.00
OR,7,,970488.00,754175.00,64607.00,1789270.00
PA,20,,2990274.00,2680434.00,82962.00,5753670.00
RI,4,,279677.00,157204.00,9168.00,446049.00
SC,,9,865941.00,1071645.00,26532.00,1964118.00
SD,,3,145039.00,210610.00,8166.00,363815.00
TN,,11,960709.00,1462330.00,35538.00,2458577.00
TX,,38,3308124.00,4569843.00,115884.00,7993851.00
UT,,6,251813.00,740600.00,25027.00,1017440.00
VT,3,,199239.00,92698.00,7353.00,299290.00
VA,13,,1971820.00,1822522.00,60147.00,3854489.00
WA,12,,1755396.00,1290670.00,79450.00,3125516.00
WV,,5,238269.00,417655.00,14514.00,670438.00
WI,10,,1620985.00,1407966.00,39483.00,3068434.00
WY,,3,69286.00,170962.00,8813.00,249061.00
